new_product,matched_old_product,score
คัทตัลบัท 100 ก้านจิ๋ว B-Duck,คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,0.9668817520141602
มีด195 KW,มีด 194 KW,0.9646711349487304
แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,แปรงเตารีด - ทองเหลือง SBI-106 พระอาทิตย์,0.9645156860351562
แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,แปรงเตารีด - ทองเหลือง SBI-106 พระอาทิตย์,0.9645156860351562
แปรงซักผ้าขนนม แป้นสีบรอนซ์333 CC,แปรงซักผ้าขนสั้นม - แป้นสีบรอนซ์ 333 CC,0.9641835689544678
โต๊ะไม้ ขาดำ 24*24 PYS,โต๊ะไม้ - ขาดำ 20*30 PYS,0.9627166986465454
กระชอนพลาสติก #15 PYP,กระชอนพลาสติก #10 PYP,0.9626803398132324
ทัพพีเล็กด้ามดำ TP-076 (ต้นสน) TK,ทัพพีใหญ่ - ด้ามดำ TP-079 (ต้นสน) TK,0.962114155292511
ตะแกรงกรองน้ำมันด้ามแดง SJ320 (20ซม),ตะแกรงกรองน้ำมัน - ด้ามแดง SJ320 (20 ซม),0.9618703126907348
"คีบสลัด-เล็ก 10"" (หนา) FW-088 แพคครึ่ง","คีบสลัดเล็ก 10"" (หนา) FW-088 แพ็คครึ่ง",0.9611766934394836
โต๊ะไม้ ขาดำ 24*24 PYS,โต๊ะไม้ - ขาดำ (เล็ก) 16*24 PYS,0.961134433746338
"กระบวยโฟกัส 4"" #500 (ดำ/แดง) แบล็คไลท์",กระบวยโฟกัส #500 (ดำ/แดง) แบล็คไลท์,0.9600445032119752
กาวช้างแท้ อัลโก้ QS,กาว ช้าง แท้ - อัล ที โก้ QS,0.9599965214729308
ตะหลิวม้าลาย-เล็ก#104008 **ไม่รับคืน,"ตะหลิวม้าลาย - เล็ก #104008 ""ไม่รับคืน/เปลี่ยน""",0.95971941947937
กระชอนเลสตาข่าย ด้ามไม้(ก้นตัด)#4168,กระชอนเลสตาข่าย - ด้ามไม้ (ก้นตัด) #4170 (,0.9589285850524902
กรวยพลาสติก #6 CC,กรวยพลาสติก #4 CC,0.9581021666526794
ถาดกลมเลส28cm LH-4411 TLH,ถาดกลมเลส 34 cm LH4414 TLH,0.9580819606781006
มีด195 KW,มีด 195 KW,0.9559934139251708
มีดด้ามพลาสติก211P KW,มีดด้ามพลาสติก 830P KW,0.9557594060897828
คั้นส้มขาตั้งกลมใหญ่ (มีเนียม) KPT,คั้นส้มขาตั้ง - กลมเล็ก (มิเนียม) KPT,0.9549533128738404
ถาดกลมเลส32cm LH-4413 TLH,ถาดกลมเลส 34 cm LH4414 TLH,0.954869508743286
ลูกเหม็น 800 จัมโบ้ (20802) ATM,ลูกเหม็น800 กรัม ATM,0.9546871185302734
"ตะหลิวยาว4""ไม้ HFW-039 ม้าน้ำ MIFL","ตะหลิวยาว 4"" ไม้ #FW-039 ม้าน้ำ MIFL",0.9534403681755066
คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,คัทตัลบัท100ก้านจิ๋วB-Duckกระปุก,0.9534093737602234
มีดด้ามพลาสติก211P KW,มีดด้ามพลาสติก 840P KW,0.953383445739746
กล่องเหลี่ยมใหญ่74-72 DB,กล่องเหลี่ยมใหญ่ 14-72 DB,0.9530074000358582
กระชอนพลาสติก #18 PYP,กระชอนพลาสติก #12 PYP,0.9529534578323364
เก้าอี้เตี้ย 366 สีหวาน Bl,เก้าอี้เตี้ย 555 สีหวาน MM,0.9527560472488404
ทัพพีใหญ่ด้ามดำ TP-079 (ต้นสน) TK,ทัพพีเล็ก - ด้ามดำ TP-076 (ต้นสน) TK,0.9525215029716492
กะละมัง 058 สี OS,กะละมัง 053 สี OS,0.9523245096206664
มีด195 KW,มีด 173 KW,0.952153980731964
มีดด้ามพลาสติก173P KW,มีดด้ามพลาสติก 173P KW,0.9510298371315002
ตะแกรงกรองน้ำมันด้ามแดง SJ322 (22ซม),ตะแกรงกรองน้ำมัน - ด้ามแดง SJ320 (20 ซม),0.9509735107421876
คัทตัลบัท 100 ก้านจิ๋ว B-Duck,คัทตัลบัท100ก้านจิ๋วB-Duckกระปุก,0.9503008723258972
ลิ้นชัก A4 ชั้นใส โครงสี #2011-2,ลิ้นชัก A4 3 ชั้น ใส - โครงสี #2011-2 (JP1220),0.95009583234787
มีดด้ามพลาสติก173P KW,มีดด้ามพลาสติก 171P KW,0.9499046206474304
หม้อด้ามร่ม#16 (ไม่รับเปลี่ยน) UM,หม้อด้ามร่ม #18 (ไม่รับเปลี่ยน) UM,0.9497486352920532
"ถุงห่วงกาแฟ จัมโบ้6""(S.P.)NO.01 BIR","ถุงห่วงกาแฟ - กลาง 5"" (S.P.) NO.02 BIR",0.947924256324768
หมวกอาบน้ำมุกเล็ก45บ UD,หมวกอาบน้ำ - มุกเล็ก 45 บ. UD,0.9471880197525024
เหยือกเพชรกลมใส200 #559 VT,เหยือกเพชรกลม - โซ 20บ #559 VT,0.9469793438911438
กล่องแช่4401 SRT,กล่องแช่ 4402 SRT,0.9467126727104188
โต๊ะไม้ ขาดำ (เล็ก) 16*24 PYS,โต๊ะไม้ - ขาดำ 20*30 PYS,0.9457974433898926
กล่องฟินิกส์ ผืนผ้า#294-2 BG,กล่องฟินิกส์ - ผืนผ้า L #294-2 BG,0.9445733428001404
หม้อด้ามร่ม#18 (ไม่รับเปลี่ยน) UM,หม้อด้ามร่ม #16 (ไม่รับเปลี่ยน) UM,0.9444605112075806
ลูกเหม็น 800 เม็ดเล็ก (20801) ATM,ลูกเหม็น800 กรัม ATM,0.9442101120948792
ปืนยิงกาวแผงใส-ใหญ่40W 39#0250 IMM,ปืนยิงกาวแผงใส-ใหญ่40W,0.944071888923645
นส.8 สี SP,น.ส. 8 สี SP,0.9437428712844848
ตะกร้าฝาปิดหูหิ้ว 321-3N สีNEW (ใหญ่) VJ,ตะกร้าฝาปิดหูหิ้ว 321-3N สี NEW (ใหญ่) VJ,0.9436609148979188
ตักน้ำแข็งมิเนียม CCD-2 CCD,ตักน้ำแข็ง - มิเนียม (จัมโบ้) CCD-1 CCD,0.9435769319534302
ขูด 218 KW,ขูด 217 KW,0.9432922601699828
ปิ้งปูจัมโบ้ BOOM,ปิ้งปู-จัมโบ้Boom,0.9432055354118348
กระชอนพลาสติก #18 PYP,กระชอนพลาสติก #15 PYP,0.9432013034820556
"ตักถ่าน หนา (1""10อัน) CY",ตักถ่านดำหนา (1*10 อัน) CY,0.9424985647201538
ตะแกรง 1991 สีใส SRT,ตะแกรง 1990 สีใส-สีสด SRT,0.9415556192398072
ตะแกรงกรองน้ำมัน-ด้ามสี 20cm #TL-664,ตะแกรงกรองน้ำมัน - ด้ามสี 16 cm TL-662 T,0.9413564801216124
ถัง+ฝา 4.5 SRT,ถัง + ฝา 6.5 SRT,0.9409792423248292
ทัพพีม้าลาย - ด้ามดำจีน(เล็ก)**ไม่รับคืน,"ทัพพีม้าลาย - ด้ามดำจีน (เล็ก) ""ไม่รับคืน""",0.9408950805664062
หมวกอาบน้ำการ์ตูน-เล็ก,หมวกอาบน้ำการ์ตูน - จัมโบ้,0.9408460855484008
กระชอนพลาสติก #18 PYP,กระชอนพลาสติก #10 PYP,0.9397957921028136
กล่องล็อค 561/1 W,กล่องล็อค561/1,0.9378002882003784
ลูกเหม็น 800 เม็ดเล็ก (20801) ATM,ลูกเหม็น 800 จัมโบ้ ATM,0.937759280204773
ตะแกรงกรองน้ำมันด้ามแดง SJ322 (22ซม),ตะแกรงกรองน้ำมัน - ด้ามแดง SJ317 (17/18 ซม),0.9375514388084412
"ตะหลิวโฟกัส-ยาว 4"" #400 (คำ) แบล็คไลท์","ตะหลิวโฟกัส - ยาว 4"" #400 (ดำ) แบล็คไลท์",0.937072217464447
มีด21 KW,มีด 199 KW,0.9362941384315492
มีด21 KW,มีด 199 KW,0.9362941384315492
ลูกเหม็น 800 จัมโบ้ (20802) ATM,ลูกเหม็น 800 เม็ดเล็ก ATM,0.9361437559127808
กะละมังเลส-เกาหลี ก้นตัด(เคลือบสีลาย),กะละมังเลส เกาหลี (กันตัด),0.935710072517395
มีด199 KW,มีด 199 KW,0.9350656867027284
ตะแกรงเหลี่ยม 903 สีเข้ม RTH,ตะแกรงเหลี่ยม 900 สีเข้ม RTH,0.9343064427375792
ตะแกรงเหลี่ยม 900 สีเข้ม RTH,ตะแกรงเหลี่ยม 903 สีเข้ม RTH,0.9343063831329346
"คีบสลัดใหญ่15""(หนา) FW-086 แพคครึ่ง","คีบสลัด - กลาง 12"" (หนา) FW-087 แพ็คครึ่ง",0.934262990951538
กล่องล็อค 560 หูหิ้ว W,กล่องล็อค560หูหิ้ว,0.9342585802078248
แม็กซ์ใหญ่10239/DL0306 (จับราคา) IMM,แม็กซ์ใหญ่ 10239 / DL0306 (จับราคา) IMM,0.9340269565582277
แปรงขัดรองเท้า666 แปรงไทย,แปรงขัดรองเท้าดำ 666 แปรงไทย,0.9340035915374756
มีด21 KW,มีด 172 KW,0.932366132736206
มีด21 KW,มีด 172 KW,0.932366132736206
ตะแกรง 9831 SMT,ตะแกรงตาถี่ 9833 SMT,0.9322504997253418
"ตะหลิวโฟกัส-ยาว 4"" #400 (คำ) แบล็คไลท์","ตะหลิวโฟกัส-ยาว 4"" #400 (ดำ) แบล็คไลท์",0.9320698976516724
คัทตัลนัท 100 ก้านจิ๋ว B.Duck (กระปุก) RR,คัทตัลบัท100ก้านจิ๋วB-Duckกระปุก,0.9316188097000122
ทัพพีม้าลาย - ด้ามดำจีน(เล็ก)**ไม่รับคืน,ทัพพีม้าลาย - ด้ามดำจีน (เล็ก) **ไม่รับคืน/เปลี่ยน,0.9313756227493286
คัทตัลบัท 100 ก้านจิ๋ว B-Duck,คัทตัลบัต100ก้านจิ๋วB-Duck(ซอง),0.9313722848892212
ถัง+ฝา 12 ตำ AC,ถัง + ฝา 12 สี AC,0.9299616813659668
คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,คัทตัลบัต100ก้านจิ๋วB-Duck(ซอง),0.9299113750457764
มีด193 KW,มีด 194 KW,0.929286539554596
เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,เก้าอี้ซักผ้าเหลี่ยม - หลามตัด 9026 สีหวาน AE,0.9286367893218994
แปรงซักผ้า (ไดโน) แป้นไม้-ขนสีนม NCL,แปรงซักเสื้อ - แป้นไม้ (ไดโน) NCL,0.928440272808075
ทัพพีพลาสติก 1*2 JP ตราสมอ,ทัพพีพลาสติก 1*2 JP ตราสมอ (บาร์ 01732),0.9283432960510254
ถัง+ฝา 12 ตำ AC,ถัง + ฝา 12 ดำ AC,0.9278354644775392
แปรงซักผ้าขนนม แป้นสีบรอนซ์333 CC,แปรงซักผ้าไดโนขนสี 449,0.926850199699402
คัทตัลบัท 200ก้านกระปุก แจ็กซ์เพียว JAXX,คัทตัลบัท 80ก้านกระปก แจ็กซ์เพียว JAXX,0.926842451095581
กระชอนเลสตาข่าย ด้ามไม้(ก้นตัด)#4168,กระชอนเลสตาข่าย - ด้ามไม้ (กันตัด) #4169 1,0.9260971546173096
กล่องแซ่4402 SRT,กล่องแช่ 4402 SRT,0.9260272979736328
กะละมัง 004/58 สี SP,กะละมัง 004/75 ดำ SP,0.9259026050567628
ฝาซี36 สีเข้ม SRT,ฝาชี 46 สีเข้ม (SRT),0.9249760508537292
ขันปั้มลายไทย กระเช้า NO.22 M,ขันปั๊มลายไทย NO.26 TM,0.9234171509742736
ทัพพีแขกด้ามพลาสติกสี ตราสมอ PPL,ทัพพีจีนใหญ่ - ด้ามพลาสติกสี ตราสมอ PPL,0.9233747124671936
